sample_id,genus,abundance,id
sample-124,g__Abiotrophia,0.0,g__Abiotrophia
sample-126,g__Abiotrophia,0.0,g__Abiotrophia
sample-127,g__Abiotrophia,0.0,g__Abiotrophia
sample-128,g__Abiotrophia,0.0,g__Abiotrophia
sample-129,g__Abiotrophia,0.0,g__Abiotrophia
sample-130,g__Abiotrophia,0.0,g__Abiotrophia
sample-131,g__Abiotrophia,0.0,g__Abiotrophia
sample-132,g__Abiotrophia,0.0,g__Abiotrophia
sample-134,g__Abiotrophia,0.0,g__Abiotrophia
sample-137,g__Abiotrophia,0.0,g__Abiotrophia
sample-138,g__Abiotrophia,0.0,g__Abiotrophia
sample-139,g__Abiotrophia,0.0,g__Abiotrophia
sample-140,g__Abiotrophia,0.0,g__Abiotrophia
sample-141,g__Abiotrophia,17.0,g__Abiotrophia
sample-142,g__Abiotrophia,0.0,g__Abiotrophia
sample-143,g__Abiotrophia,0.0,g__Abiotrophia
sample-144,g__Abiotrophia,0.0,g__Abiotrophia
sample-145,g__Abiotrophia,45.0,g__Abiotrophia
sample-146,g__Abiotrophia,0.0,g__Abiotrophia
sample-147,g__Abiotrophia,0.0,g__Abiotrophia
sample-148,g__Abiotrophia,0.0,g__Abiotrophia
sample-149,g__Abiotrophia,0.0,g__Abiotrophia
sample-212,g__Abiotrophia,0.0,g__Abiotrophia
sample-215,g__Abiotrophia,0.0,g__Abiotrophia
sample-222,g__Abiotrophia,0.0,g__Abiotrophia
sample-225,g__Abiotrophia,0.0,g__Abiotrophia
sample-231,g__Abiotrophia,0.0,g__Abiotrophia
sample-233,g__Abiotrophia,0.0,g__Abiotrophia
sample-235,g__Abiotrophia,0.0,g__Abiotrophia
sample-237,g__Abiotrophia,0.0,g__Abiotrophia
sample-239,g__Abiotrophia,0.0,g__Abiotrophia
sample-241,g__Abiotrophia,0.0,g__Abiotrophia
sample-243,g__Abiotrophia,0.0,g__Abiotrophia
sample-245,g__Abiotrophia,0.0,g__Abiotrophia
sample-247,g__Abiotrophia,0.0,g__Abiotrophia
sample-249,g__Abiotrophia,0.0,g__Abiotrophia
sample-32,g__Abiotrophia,0.0,g__Abiotrophia
